,time,Lat_Prim,Long_Prim,DeltaLat_Secondary,DeltaLong_Secondary,DeltaLat_Secondary_err,DeltaLong_Secondary_err
0,2453941.7245005127,-6.797597489297902,23.20029187196733,0.003825788716555054,-0.26128960611365226,0.0004892748239358672,0.0004597177845413047
1,2454297.2230747747,2.9677496691602117,1.3848790875764057,-0.11049929731563025,-0.1648745769373439,0.001562353224510653,0.002674646977087029
2,2454300.683827769,2.9640134578003168,1.3819826582195631,-0.12310232625532193,-0.11031600905278106,0.0020013990863279557,0.001369431592405783
3,2454317.765393156,2.9216291663146903,1.3528617943104595,0.08059837959621638,0.015822408891589385,0.00197962258898592,0.0025936978765544482
4,2454340.022517969,2.8133431974991145,1.2825218539647365,-0.022490824282116115,-0.2658215870737289,0.0018275700723950513,0.0019011625763445872
5,2454703.632836356,3.309502654768969,1.6113106132857595,-0.09438831782707491,0.03581726300878682,0.001461925212511981,0.001398774428598709
6,2455184.781217669,3.143583343150578,1.5361247146150496,-9.298043876145197e-05,-0.25418575479759203,0.0030520915522737647,0.002309524927524809
7,2456199.687631139,4.988461732857888,2.7390728830880104,0.025705519394942353,-0.2500758386055049,0.020073170248589685,0.019672219991196685
8,2457234.886314339,6.629238039669176,3.843052365569488,-0.11835586486326617,-0.10430413930998823,0.004808911225627621,0.007069510963818165
9,2457973.862874438,7.459096779026349,4.41454786399068,-0.11681267771561472,-0.020794571226939316,0.005735017977653501,0.004605126291138227
