,time,Lat_Prim,Long_Prim,DeltaLat_Secondary,DeltaLong_Secondary,DeltaLat_Secondary_err,DeltaLong_Secondary_err
0,2452117.6672996,-25.366912472749963,11.289678208590724,2.16209733707211,-3.311811578286993,0.12380570990833335,0.1387910495586659
1,2452145.4851808264,-25.475066224444323,11.19557039097715,2.1679251854590844,-3.2932979053325284,0.10489899618959356,0.1097810209134218
2,2452145.50614082,-25.475139611205613,11.195508274538083,2.167925210352072,-3.293275830556289,0.1111538872546417,0.12663697505979551
3,2452145.527220813,-25.47521182754269,11.195443295729758,2.1679252427059916,-3.293253652960786,0.07016018302622848,0.07546686804008852
4,2452146.5012205057,-25.478649942993318,11.19244306196082,2.167923584460051,-3.2922284944767757,0.13791400658664005,0.1467156559005154
5,2452146.521860499,-25.478723329032608,11.192380942852957,2.1679233301908454,-3.2922061925642963,0.05376771067876122,0.0586357949035879
6,2452170.408382939,-25.54961717487043,11.130627623865015,2.16410022746255,-3.2585490681581093,0.21375108503782408,0.22772918621898897
7,2452170.416662937,-25.549642152433986,11.13060817187386,2.16409773221694,-3.258534441777184,0.21523748151039826,0.23355453038401025
8,2452170.420802935,-25.549650088071104,11.130600733855234,2.164096485017796,-3.258527129569248,0.20297249770461906,0.2258090859003916
9,2452171.4334626147,-25.551985491765148,11.12858067114551,2.1637906623542027,-3.256739508229913,0.1580551144197908,0.16637756549971858
10,2452432.772808106,-25.02779950755324,11.619560819078824,2.2322891773297484,-2.7305626545951127,0.07189542993166438,0.08562150309163688
11,2452432.7840281026,-25.027832858008995,11.619535057991733,2.2322988185437755,-2.7305606063638526,0.07880697947962291,0.08147769544369235
12,2452520.245229057,-25.35290475720473,11.343874025372148,2.25675044955752,-2.6855177118994793,0.03378923097754833,0.03712263453316198
13,2452521.243428724,-25.356168676906925,11.341066255271134,2.256377844742218,-2.6841511335535406,0.14467924819969702,0.15491951627714914
14,2452849.3039164697,-25.045631617835298,11.646087704089528,2.2671567996719424,-2.0005371986572946,0.1984429649079163,0.2148765602299472
15,2452851.542435686,-25.055260372306904,11.637999786093696,2.266985713464941,-1.9990170347609462,0.06370701323567561,0.06454262685785031
16,2452940.249624444,-25.28341191350562,11.445652117029773,2.207198609093474,-1.8526391666729551,0.03416706836146213,0.03677167334764248
17,2452940.2541944417,-25.28341191353045,11.445652117017802,2.207193906501558,-1.8526264974273503,0.025782034387795336,0.02712739579550012
18,2452940.2576144408,-25.28340280121304,11.445656668083787,2.2071903873377976,-1.8526170157437694,0.0375851750573574,0.03781297897749399
19,2453264.3808475877,-25.064231913620674,11.669637513416438,2.1441765969277706,-1.1327628675976054,0.21563939122358908,0.22702550755575265
20,2453264.4083175776,-25.06431334552148,11.669568322403224,2.144148958322966,-1.1327184582057697,0.22087870164886436,0.2208198414636869
21,2453290.24340812,-25.113797157360874,11.628129194677319,2.1153997381806557,-1.0833746173258338,0.02420443370523025,0.024736756747189118
22,2453290.3848880674,-25.1139278213106,11.628019379739746,2.1152289459878673,-1.08305687081762,0.0244035380838872,0.027582835968342784
23,2453291.3790277033,-25.114824079408613,11.627286240717096,2.114031770214552,-1.0808260382863926,0.059637203484097526,0.06778139955477219
24,2453293.408416959,-25.116405286026517,11.6260008997369,2.111573936808552,-1.0761948768655043,0.06384917685802025,0.0747202322909041
25,2453559.6910183732,-24.59965587461487,12.09093073998393,1.9952675971725335,-0.34125407934559276,0.02707928414674444,0.02769057678359562
26,2453559.713898364,-24.599755662478714,12.090852938933793,1.9952600329636743,-0.34123003143667946,0.03941946502568401,0.04072207833273397
27,2453584.369779164,-24.708504871022118,12.002698297251241,1.9831408899249607,-0.31716193365677214,0.059454594608836224,0.0647318619603192
28,2453639.4151586117,-24.913359977189174,11.833573274672213,1.9272701845627898,-0.25065254865588155,0.07535196506861967,0.07744601072058534
29,2453639.480378588,-24.913507012174467,11.833449916102413,1.9271843799757542,-0.250545229133678,0.07374187885352486,0.07326527057785362
30,2453647.3611956453,-24.929142952656484,11.820442944954493,1.9166228278872592,-0.2370549199296497,0.09860301331945913,0.10385793929973937
31,2453647.3969856314,-24.929200563154772,11.820396024660836,1.916573711287272,-0.23699008878635472,0.08533891077647432,0.09377461154080052
32,2454030.143262628,-24.76568736821435,11.991999478259899,1.5677543996452596,0.6587880475516281,0.14362224619605754,0.1533300672534522
33,2454036.29286034,-24.76610098293843,11.991696533654633,1.557659887551443,0.6700328243596848,0.03637907057640434,0.037697327624392006
34,2454036.297210338,-24.76610098296269,11.991696533643394,1.5576527111791465,0.6700410889852121,0.031368395650614674,0.03645604993019954
35,2454359.437351384,-24.50873299048006,12.237047662853866,1.1841415066200172,1.4090292624572227,0.10539313311471167,0.12261361285516473
36,2454359.4435713817,-24.50874930361211,12.237033916666094,1.1841310320116365,1.4090343975404456,0.09371057167231432,0.09567898362337147
37,2454359.479261369,-24.508873012366013,12.236934165322086,1.184070927462299,1.4090639014595125,0.08475252002344824,0.08982714005524182
38,2454360.2633010847,-24.51139106603519,12.234885443421586,1.1827522034495102,1.409703886208841,0.043038352015414005,0.045109441608656285
39,2454360.268131084,-24.511408156394424,12.234873608315606,1.182744054334927,1.4097078297816963,0.02295274747347873,0.02443571611605241
40,2454383.2558527626,-24.56573193975543,12.19046945651733,1.1426888098097103,1.4303068024865166,0.04265127519391465,0.04678265609236728
41,2454383.26383276,-24.56574941671784,12.190458568532758,1.1426745131506537,1.430314764941738,0.031983496198681065,0.034998671751720375
42,2454383.280652753,-24.565773299757492,12.190436502307653,1.1426443756869291,1.4303315664992813,0.03419175279382612,0.034390919731604484
43,2454407.3320140718,-24.575817614555348,12.182062969377894,1.0990763720872925,1.457865315363552,0.058958258455453424,0.05967314727688159
44,2454407.336214071,-24.57581761457789,12.182062969367626,1.0990687078476495,1.457870853579508,0.06278080524024196,0.07058612616217097
45,2454416.27472085,-24.56644605342082,12.189720333625724,1.0828109010272529,1.4701676331216758,0.05245207722564183,0.0597493800480453
