,time,Lat_Prim,Long_Prim,DeltaLat_Secondary,DeltaLong_Secondary,DeltaLat_Secondary_err,DeltaLong_Secondary_err
0,2454387.697173271,5.6688654447144815,3.628963012950163,-0.39422049735183007,-0.6250241458939004,0.06813264496742845,0.06437599225812662
1,2454418.5172281675,5.377405231959326,3.4497039747996734,-0.20576639573436373,-0.7764069594467969,0.018389684872128755,0.01877841946644061
2,2454423.511237019,5.338322119127414,3.4258946836554216,-0.17367857553398103,-0.8196808176952942,0.0234624756379295,0.025611193856668074
3,2454431.3912509605,5.28359416820604,3.392776269169932,-0.2753594302140646,-0.7654180758013387,0.035206416124747494,0.03558472958603813
4,2454434.353256193,5.265424920977072,3.3818697216732416,-0.14752207370106082,-0.8335337776606724,0.03065490362880633,0.029554184584329863
5,2454446.388277409,5.206581893152665,3.3471544349502924,-0.11987275880640413,-0.7752252382338766,0.037614536793152006,0.035911634148848896
6,2454456.3612949345,5.177721147745403,3.3311319040979557,-0.14150652047665702,-0.8478802937813209,0.030023355449421613,0.029397574667528212
7,2454473.3843247346,5.172590829044549,3.332073712403814,-0.12761193180290067,-0.7987049164130734,0.031044212749237157,0.030734267238324394
8,2454729.9027663567,6.287434817085438,4.128985523631028,0.2787298787130494,0.3878045989585665,0.001338450404719478,0.0011172449961553703
9,2454770.731822073,5.883634227296753,3.87852812044232,0.29311297802937186,0.6570242652307327,0.014817278647841981,0.014011733335230524
10,2454799.5218679304,5.654804569590799,3.737188358553954,0.2916086221832256,0.731308520283328,0.03720289012451721,0.033926196587484136
11,2454838.538929449,5.5534672469493165,3.679514759553791,0.2688167433590406,0.921493620459205,0.026891104551939143,0.02689054475904733
12,2454863.580968552,5.639320003463858,3.73984765146376,0.26301731106959847,0.997810618291552,0.022694321665764863,0.022486281920083177
13,2455051.9562529167,6.953686549249746,4.657000154585772,0.07661701168134621,1.0460644417053426,0.02558077423914689,0.027315984858372624
14,2455067.9532762854,6.875748258895415,4.612273925632096,-0.00047724453398256816,1.029501820062561,0.024188884364602214,0.02083959742109149
15,2455074.914286417,6.829959721386372,4.584935353701962,0.042339983325701006,0.9551114963393639,0.014338086480733103,0.01436335238301832
16,2455101.731325238,6.6025563097477615,4.445503767761361,-0.030546501879242655,0.9045210017838836,0.015195413223957469,0.017591359913634606
17,2455120.7823526124,6.413929422428636,4.327952083290634,-0.03792676558955381,0.7627179886890831,0.016264443878397615,0.01795029284452766
18,2455140.684381027,6.2219215373648815,4.207664781301262,-0.0667598144167032,0.6698566545451101,0.01849926279850097,0.02084456750097715
19,2455172.604426206,5.991583724498859,4.063729070387904,-0.1212454522035124,0.4533144125452522,0.01676892830113355,0.02392746909385597
20,2455176.573631791,5.973335212422639,4.052492489689101,-0.1373860056059186,0.4572999811596417,0.0029494575206053747,0.003054956945539792
21,2455189.608450076,5.933469428665543,4.0284578386503815,-0.18434124622715842,0.3657591710914249,0.015911098080183195,0.018037147912007626
22,2455457.864808753,7.051550457328153,4.848859371093571,-0.11896509929519872,-0.8420485474357009,0.018015175796261915,0.01897720766214403
23,2455567.532945803,6.288887711327949,4.369320554892679,0.13696268773210735,-0.4668529240377974,0.020966576538241827,0.0221190178315519
